4.40,136657,0439023483,good_reads:book,https://www.goodreads.com/author/show/153394.Suzanne_Collins,2008,/genres/young-adult|/genres/fiction|/genres/science-fiction|/genres/dystopia|/genres/fantasy|/genres/science-fiction|/genres/romance|/genres/adventure|/genres/book-club|/genres/young-adult|/genres/teen|/genres/apocalyptic|/genres/post-apocalyptic,01_2767052-the-hunger-games.html,2977377,"The Hunger Games (The Hunger Games, #1)"
4.41,16708,0439358078,good_reads:book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2003,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/science-fiction-fantasy|/genres/classics|/genres/novels|/genres/fantasy|/genres/paranormal,01_2.Harry_Potter_and_the_Order_of_the_Phoenix.html,1292665,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
3.56,85810,0316015849,good_reads:book,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,2005,/genres/young-adult|/genres/fantasy|/genres/romance|/genres/paranormal|/genres/vampires|/genres/fiction|/genres/fantasy|/genres/paranormal|/genres/romance|/genres/paranormal-romance|/genres/fantasy|/genres/supernatural|/genres/young-adult|/genres/teen|/genres/fantasy|/genres/urban-fantasy,01_41865.Twilight.html,2592551,"Twilight (Twilight, #1)"
4.23,48105,0061120081,good_reads:book,https://www.goodreads.com/author/show/1825.Harper_Lee,1960,/genres/classics|/genres/fiction|/genres/historical-fiction|/genres/academic|/genres/school|/genres/literature|/genres/young-adult|/genres/academic|/genres/read-for-school|/genres/novels|/genres/book-club|/genres/young-adult|/genres/high-school,01_2657.To_Kill_a_Mockingbird.html,2089398,To Kill a Mockingbird
4.23,34855,0679783261,good_reads:book,https://www.goodreads.com/author/show/1265.Jane_Austen,1813,/genres/classics|/genres/fiction|/genres/romance|/genres/historical-fiction|/genres/literature|/genres/novels|/genres/european-literature|/genres/british-literature|/genres/adult|/genres/classics|/genres/classic-literature|/genres/academic|/genres/school,01_1885.Pride_and_Prejudice.html,1395328,Pride and Prejudice
3.86,4471,0143039563,good_reads:book,https://www.goodreads.com/author/show/1244.Mark_Twain,1876,/genres/classics|/genres/fiction|/genres/young-adult|/genres/adventure|/genres/literature|/genres/historical-fiction|/genres/childrens|/genres/academic|/genres/school|/genres/literature|/genres/american|/genres/novels,02_24583.The_Adventures_of_Tom_Sawyer.html,388113,The Adventures of Tom Sawyer
4.30,9958,0618346252,good_reads:book,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,1954,/genres/fantasy|/genres/classics|/genres/fiction|/genres/adventure|/genres/science-fiction-fantasy|/genres/fantasy|/genres/epic-fantasy|/genres/fantasy|/genres/high-fantasy|/genres/young-adult|/genres/fantasy|/genres/magic,02_34.The_Fellowship_of_the_Ring.html,1180803,"The Fellowship of the Ring (The Lord of the Rings, #1)"
4.08,5396,0142403881,good_reads:book,https://www.goodreads.com/author/show/4273.Roald_Dahl,1964,/genres/childrens|/genres/fantasy|/genres/fiction|/genres/classics|/genres/young-adult,02_6310.Charlie_and_the_Chocolate_Factory.html,355461,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
4.27,4092,0241003008,good_reads:book,https://www.goodreads.com/author/show/3362.Eric_Carle,1969,/genres/childrens|/genres/childrens|/genres/picture-books|/genres/fiction|/genres/animals|/genres/classics|/genres/kids|/genres/science|/genres/mathematics|/genres/young-adult|/genres/childrens|/genres/juvenile|/genres/environment|/genres/nature,02_4948.The_Very_Hungry_Caterpillar.html,201202,The Very Hungry Caterpillar
4.05,6860,0571224385,good_reads:book,https://www.goodreads.com/author/show/6343.Milan_Kundera,1981,/genres/classics|/genres/philosophy|/genres/literature|/genres/novels|/genres/european-literature|/genres/czech-literature|/genres/contemporary|/genres/romance,02_9717.The_Unbearable_Lightness_of_Being.html,169605,The Unbearable Lightness of Being
